name,image,serving_size,prep_time_in_mins,cook_time_in_mins,ingredients,ingredients_name,ingredients_quantity_gram,is_vegetarian,is_breakfast,is_lunch,is_snack,is_dinner,energy_per_serving_kcal,carbohydrate_per_serving_g,protein_per_serving_g,fat_per_serving_g,fiber_per_serving_g
Chaul Biriyani,https://veganbangla.com/wp-content/uploads/2022/07/fullsizeoutput_1d84.jpeg?w=1024,4,5,55,"250 g of Basmati Rice,60ml Vegetable Oil,2 big Onion – Sliced,2-3 fresh Chili,1/4 tsp Turmeric powder,1/4 tsp Cumin powder,1/4 tsp Coriander powder,1 Bay leaf,1 inch cinnamon stick,2 whole Cardamom,1/4 Cumin seeds,2 tsp fine Salt",,"250,60,300,10,1.25,1.25,1.25,0.5,0.5,0.5,1.25,10",1,0,1,0,1,380.00,58.00,5.40,14.30,3.10
Ruti,https://veganbangla.com/wp-content/uploads/2020/11/fullsizeoutput_1bff.jpeg?w=900,4,15,5,"100ml water,200-250g Whole Wheat Flour,1tsp Salt,1tsp Oil",,"100,250,5,5",1,1,1,0,1,201,40.5,7.3,2.5,5.6
Bhaja Bhat,https://veganbangla.com/wp-content/uploads/2020/07/fullsizeoutput_d9a.jpeg?w=900,3,5,15,"500 g of leftover rice,Veggies,Edamame beans,20ml Vegetable Oil,1 big Onion Sliced, 2-3 fresh Chili and dried chili,1 tbs Cumin seeds (Cuminum cyminum),2 tsp fine Salt",,"500,200,100,20,150,15,15,10",1,1,1,0,1,368,61.7,10.1,9,5.6
Vegetable Khichuri ,https://veganbangla.com/wp-content/uploads/2020/06/fullsizeoutput_c6a.jpeg?w=1024,8,5,50,"500 g of Bashmoti Rice,250g of red Lentil (Mashur Daal/Lens culinaris) or Pulse of your choice,Veggies,60ml Vegetable Oil,1 big Onion – Sliced,2-3 fresh Chili and dried chili,1 tsp Turmeric powder,1tsp Cumin powder ,2 Bay leaf,1 tbs Cumin seeds (Cuminum cyminum),2 tsp fine Salt",,"500,250,400,60,150,15,5,5,2,15,10",1,1,1,0,1,438,76.6,13.7,8.3,5.2
Kalijira Bhorrta,https://veganbangla.com/wp-content/uploads/2024/01/fullsizeoutput_2d1a.jpeg?w=900,4,10,10,"1 cup Nigella seed,1 medium white Onion,1/4 tbs fine Salt,20ml Bangladeshi Mustard Oil,Dried Chili – as desired, Garlic – as desired",,"240,110, 3.75,20,1,10",1,0,1,0,1,185,18.4,6,12.2,4.4
Kathaler Bichi Bhorrta,https://veganbangla.com/wp-content/uploads/2023/09/fullsizeoutput_2a1a.jpeg?w=900,4,30,30,"150g Jackfruit seed- dried and peeled,1 medium white Onion,1/4 tbs fine Salt,20ml Bangladeshi Mustard Oil,Dried Chili – as desired",,"150,110,5,20,1",1,0,1,0,1,126,17.2,3,5.1,1.4
Jaam Alu Bhorrta,https://veganbangla.com/wp-content/uploads/2023/02/fullsizeoutput_2511.jpeg?w=900,4,30,30,"500g Red Potatoes,1 big Onion,1 tbs fine Salt,60ml Bangladeshi Mustard Oil,Dried Chili – as desired,20ml Vegetable Oil to fry",,"500,150,15,60,20",1,0,1,0,1,255,23.9,2.9,17.8,3.6
Dhonia Patar Bhorrta,https://veganbangla.com/wp-content/uploads/2022/10/fullsizeoutput_225b.jpeg?w=900,4,5,5,"Green Coriander leaves -250g,Green Chili- as per taste,Garlic – as per taste,Salt – as per taste,Tamarind – 50g",,"250,10,10,50",1,0,1,0,1,49,11.2,1.87,0.41,2.48
Tishi Bhorrta ,https://veganbangla.com/wp-content/uploads/2022/09/fullsizeoutput_206e.jpeg?w=900,4,15,5,"1 Cup or 250g Linseed,1 big Onion – Very Finely sliced,8-10 Dry Red Chili ,4-5 Cloves of Garlic,5 tbs Mustard Oil,1tsp Salt",,"250,1,8-10,5,75,5",1,0,1,0,1,444,23.4,12.2,36.4,18.1
Begun Bhorrta,https://veganbangla.com/wp-content/uploads/2022/07/fullsizeoutput_1e0d.jpeg?w=1024,5,30,5,"3 Aubergines,1 big white Onion,Few green chilis,Mustard oil,Salt to taste",,"600,100,10,14,5",1,0,1,0,1,93.47,9.64,1.62,6.02,3.56
Peper Jhol,https://veganbangla.com/wp-content/uploads/2023/02/fullsizeoutput_25b3.jpeg?w=900,5,10,40,"1 big green papaya,4-5 big potatoes,1 big onion,1 Tsp Turmeric powder,1 tsp ginger garlic paste,1 tsp coriander powder,1 tsp cumin powder ,1 tsp Nigella seeds,1 tbsp salt1 bay leaf,Green Chilies to taste,oil",,"500,800,100,5,5,5,5,5,15,1,5,10",1,0,1,0,1,188.3,35.7,4.97,4.08,6.23
Alu Mular Shiter Torkari,https://veganbangla.com/wp-content/uploads/2023/06/fullsizeoutput_272a.jpeg?w=900,6,10,35,"1 Half Chinese Radish,4 Medium Potatoes,Half a cauliflower,Edamame beans as desired,40ml Vegetable Oil,1 big onion,1tbs fine Salt,1tsp Turmeric powder,1tsp Coriander powder,1tsp Cumin powder,1tsp Chili powder,1tsp Ginger Paste (or Ginger powder),1tsp,Garlic Paste (or Garlic powder),2-3 green Chili (optional),Fresh Coriander leaves (optional)",,"150,400,500,100,40,150,15,5,5,5,5,5,5,10,10",1,0,1,0,1,166.3,26.7,5.76,5.07,5.68
Daal Borar torkary,https://veganbangla.com/wp-content/uploads/2022/09/fullsizeoutput_2160.jpeg?w=900,6,60,30,"Half of a big head of Cauliflower,2-3 medium Potatoes,250g Red Lentil or Moshur Daal,100ml Vegetable Oil,1tsp Nigella Seeds,1-2 Bay leaves,2-3 Dry Red Chili,2-3 Green Chili,3tbs fine Salt,1tsp Turmeric powder,1tsp Coriander powder,1tsp Cumin powder,1tsp Chili powder,1tsp Ginger Paste (or Ginger powder),Fresh Coriander leaves to taste",,"300,400,250,100,5,1,2,2,5,45,5,5,5,5,10",1,0,1,0,1,199.1,23.2,6.83,10,6.86
