name,image,serving_size,prep_time_in_mins,cook_time_in_mins,ingredients,instructions,is_vegetarian,is_breakfast,is_lunch,is_snack,is_dinner,energy_per_serving_kcal,carbohydrate_per_serving_g,protein_per_serving_g,fat_per_serving_g,fiber_per_serving_g
Chaul Biriyani,https://veganbangla.com/wp-content/uploads/2022/07/fullsizeoutput_1d84.jpeg?w=1024,4,5,55,"250 g of Basmati Rice,60ml Vegetable Oil,2 big Onion – Sliced,2-3 fresh Chili,1/4 tsp Turmeric powder,1/4 tsp Cumin powder,1/4 tsp Coriander powder,1 Bay leaf,1 inch cinnamon stick,2 whole Cardamom,1/4 Cumin seeds,2 tsp fine Salt","1. Take a deep pot, Add oil and heat. Add cumin seeds, cardamom, cinnamon and bay leaf. After 10- 20 seconds, when they starts popping, add onion and salt and saute until golden brown.
2. While onions are getting sauteed, wash rice with cold water for 4-5 times until waters come out clean. Put them on colander to strain excess water.
3. When onions are golden brown, add washed rice, chili, salt, turmeric, coriander and cumin powder. Stir cook them for 10 minutes until the color changes and rice get crispier.
4. Boil water double the amount of rice.
5. Add boiled water and cook rice in high heat until water are absorbed. Check salt meanwhile and add if needed.
5. Turn heat to the lowest and cover the pot with lid and simmer for 20-25 minutes.
6. After 25 minutes, taste or check if the rice has cooked thoroughly. Turn off heat and keep the pot uncovered to leave out the excess moisture.
Enjoy Chaul Biriyani with your favorite pickle and veggie fry!",1,0,1,0,1,380,58,5,14,3
Ruti,https://veganbangla.com/wp-content/uploads/2020/11/fullsizeoutput_1bff.jpeg?w=900,4,15,5,"100ml water,200-250g Whole Wheat Flour,1tsp Salt,1tsp Oil","1. Boil water in a deep pot over high heat. Add salt and oil to water when it starts boiling.
2. Add flour to boiling water and turn off the heat. Mix well the flour and water until it has sticky but dry consistency.
3. Take out the dough mix from pot and leave it covered for 10 minutes to cool it down.
4. Knead very well when dough is cool enough. Add more water / flour if needed. Divide the dough and make small equal portions.
5. Take a small portion and make round flat piece. Dust both side with flour. Also dust well with flour the surface you will roll.
6. Roll the dough piece as thin as you like. Flip and dust with flour both side and roll again.
7. To cook the bread, heat a frying pan with high heat. Put rolled bread, without adding any oil. Flip after 10 seconds both sides. Gently press with wooden spoon to cook thoroughly. If any spot is uncooked, flip over and gently press with wooden spoon.
Serve with bhaji or curry you like!",1,1,1,0,1,201,41,7,3,6
Bhaja Bhat,https://veganbangla.com/wp-content/uploads/2020/07/fullsizeoutput_d9a.jpeg?w=900,3,5,15,"500 g of leftover rice,Veggies,Edamame beans,20ml Vegetable Oil,1 big Onion Sliced, 2-3 fresh Chili and dried chili,1 tbs Cumin seeds (Cuminum cyminum),2 tsp fine Salt","1. Slice onion and veggies.
2. Add and warm oil. Fry onion until golden. Add hard veggies and shallow fry until desired texture. You can add cumin, nigella or other favorite seasoning.
3. Add left over rice and soft veggies. Continue stir frying. Turn off heat after 6-8 minutes. Serve with side dish or curry.",1,1,1,0,1,368,62,10,9,6
Vegetable Khichuri ,https://veganbangla.com/wp-content/uploads/2020/06/fullsizeoutput_c6a.jpeg?w=1024,8,5,50,"500 g of Bashmoti Rice,250g of red Lentil (Mashur Daal/Lens culinaris) or Pulse of your choice,Veggies,60ml Vegetable Oil,1 big Onion – Sliced,2-3 fresh Chili and dried chili,1 tsp Turmeric powder,1tsp Cumin powder ,2 Bay leaf,1 tbs Cumin seeds (Cuminum cyminum),2 tsp fine Salt","1. Cube veggies to preferable size. Wash and drain extra water.
2. Take a deep pot where you will cook the whole dish. Add and warm oil. Shallow fry cubed veggies until they are golden. Set them aside when done. Meanwhile slice onions.
3. In the same pot and oil, add cumin seeds and bay leaf for 10- 20 seconds. When they starts bubbling, add onion and salt and saute until golden brown.
4. While onions are getting sauteed, wash rice-lentil mix with lukewarm water for 10 times until waters come out clean. Put them on colander to strain excess water.
3. Add washed rice-lentil mix, chili, turmeric and cumin powder. Stir cook them for 10 minutes until the color changes and rice-lentils get crispier.
4. Add double the amount of water and cook in high heat until water are absorbed. Check salt meanwhile and add if needed.
5. Turn heat to low, add fried veggies. Mix them lightly and cover the pot with lid and simmer for 10-15 minutes.
6. After 15 minutes, taste or check if the rice has cooked thoroughly. Turn off heat and keep the pot uncovered to leave out the excess moisture.
Enjoy Vegetable Khichuri with your favorite pickle and salad!",1,1,1,0,1,438,77,14,8,5
Kalijira Bhorrta,https://veganbangla.com/wp-content/uploads/2024/01/fullsizeoutput_2d1a.jpeg?w=900,4,10,10,"1 cup Nigella seed,1 medium white Onion,1/4 tbs fine Salt,20ml Bangladeshi Mustard Oil,Dried Chili – as desired, Garlic – as desired","1. Toast nigella seeds in a medium heat until releases fragrance, set them aside to cool down.
2. Toast dried red chili in the same pan and set them aside. Warm some mustard oil in the same fry-pan, fry sliced onion and garlic until golden brown in color.
3. In a grinder/blender, grind cooled down toasted seeds and dried chili. Stop when its your desired texture. Save some in a jar/box separately if wanted.
4. Add fried onion and garlic, salt in the left over seed-chili mix and grind again until semi-smooth paste. Add mustard oil if needed.
Serve with rice.",1,0,1,0,1,185,18,6,12,4
Kathaler Bichi Bhorrta,https://veganbangla.com/wp-content/uploads/2023/09/fullsizeoutput_2a1a.jpeg?w=900,4,30,30,"150g Jackfruit seed- dried and peeled,1 medium white Onion,1/4 tbs fine Salt,20ml Bangladeshi Mustard Oil,Dried Chili – as desired","1. Peel the paper like outer skin and boil them until soft.
2. Warm some mustard oil in a fry-pan, roast dried chili with their stalk on until they change color. Take them out of pan and keep separately.
3. Slice onion and mash them with some lemon juice.
4. When fried chili are cooled down, mash and crumble them with a 1/4 tsp of salt.
5. Now add boiled seeds in the same pan and roast until fragrant. After cooling the seeds down, blend them in grinder until smooth. Take the seed paste and mash with onions, chili and salt, until well combined. Check salt and add more if needed.
Your Jack fruit Bhorrta is ready. Garnish with mustard oil and serve with warm rice!",1,0,1,0,1,126,17,3,5,1
Jaam Alu Bhorrta,https://veganbangla.com/wp-content/uploads/2023/02/fullsizeoutput_2511.jpeg?w=900,4,30,30,"500g Red Potatoes,1 big Onion,1 tbs fine Salt,60ml Bangladeshi Mustard Oil,Dried Chili – as desired,20ml Vegetable Oil to fry","1. Cut Jaam potatoes in half or in quarter if they are too big, wash and boil them with 1tbs salt until soft.
2. Warm vegetable oil in a fry-pan, roast dried chili with their stalk on until they change color. Take them out of heat and keep separately.
3. In the same pan, add very thinly sliced onion and fry them until golden brown. When done, lay them on a plate thinly to get cooled and crumbly.
4. When fried onions and chili are cooled down, mash and crumble them with a tablespoon of salt.
5. Now add boiled and peeled potatoes. Break and mix them with fried onions, chili and salt, until well combined. Check salt and add more if needed.
Your Alu Bhorrta or Bangla mashed potato is ready. Garnish with fresh coriander leaves and serve with warm rice!",1,0,1,0,1,255,24,3,18,4
Dhonia Patar Bhorrta,https://veganbangla.com/wp-content/uploads/2022/10/fullsizeoutput_225b.jpeg?w=900,4,5,5,"Green Coriander leaves -250g,Green Chili- as per taste,Garlic – as per taste,Salt – as per taste,Tamarind – 50g","1. Heat oil in a pan and lightly saute garlic and green chili.
2. Add washed coriander leaves, tamarind and salt to the pan.
3. Cook everything until coriander leaves and garlic are soft.
4. Blend with hand blender.
Enjoy with rice or Chitoi Pitha!",1,0,1,0,1,49,11,2,0,2
Tishi Bhorrta ,https://veganbangla.com/wp-content/uploads/2022/09/fullsizeoutput_206e.jpeg?w=900,4,15,5,"1 Cup or 250g Linseed,1 big Onion – Very Finely sliced,8-10 Dry Red Chili ,4-5 Cloves of Garlic,5 tbs Mustard Oil,1tsp Salt","1. Dry roast linseed in a pan until they spread nutty toasty flavor, continue to shake the pot in medium flame to avoid burning. Keep them aside in a plate to cool down.
2. Dry roast dry chili and garlic. Thinly slice onion.
3. Coarse grind linseed with a help of coffee grinder or mortar pestle.
4. In a food processor, take roasted chili, garlic, salt and linseed and ground well until no big chuck left.
5. In a plate, take sliced onion and mash them well with mustard oil, until onions are soft.
6. Take all linseed mix and mash them well with onion. Check salt and add more if needed.
Serve them with white rice!",1,0,1,0,1,444,23,12,36,18
Begun Bhorrta,https://veganbangla.com/wp-content/uploads/2022/07/fullsizeoutput_1e0d.jpeg?w=1024,5,30,5,"3 Aubergines,1 big white Onion,Few green chilis,Mustard oil,Salt to taste","1. Wash and pat dry aubergines. Char them in your preferred method – in direct flame/ on charcoal/gas grill/electric oven. Make sure that outer skin in only charred but inside gets soft. Don’t forget to turn them around often to get evenly blazed.
2. When inside of aubergine feels soft when touched, take them out of flame and let them cool. Scoop out the flesh or simply take out the charred skin.
3. Very thinly sliced the onion and green chilies, knead or pound them with salt. DO NOT add oil in this step.
4. Then mix the aubergine flesh with onion and chilies and knead them with oil. Taste the salt and add more if needed.
Serve with white rice.",1,0,1,0,1,93,10,2,6,4
